name,city,state
"The Green Lounge",Paramus,NJ
"Lotus Rooftop",Passaic,NJ
Bocaditos,Paterson,NJ
"DR Pica Pollo",Paterson,NJ
Taj,Paterson,NJ
"Tiff's Soul Food",Paterson,NJ
"Wings & Bang Bang Tots",Pennsauken,NJ
"Mars Kitchen",Pennsgrove,NJ
"South Jersey’s BEST breakfast spot","Pine Hill",NJ
Bojangles,Piscataway,NJ
"Chicken Box",Rahway,NJ
"Cook's Kitch'n",Rahway,NJ
"Cook's KitchN",Rahway,NJ
"Cook's Kitchen",Rahway,NJ
Cookskitchn,Rahway,NJ
Eatatcooks,Rahway,NJ
"Cantina 46",Ridgefield,NJ
Cantina46NJ,Ridgefield,NJ
"Lula NJ",Ridgewood,NJ
"157 E Westfield Ave","Roselle Park",NJ
"The Addy's BBQ",Sayreville,NJ
"Jack's Surf Turf","Short Hills",NJ
"Albariño",Shrewsbury,NJ
SicklervilleSoul,Sicklerville,NJ
"Victoria’s Kitchen",Sicklerville,NJ
"Pink Pistachio Cafe",Somerville,NJ
"Amazing Taste","South Bound Brook",NJ
"Best Mexican restaurant","South Jersey",NJ
"Clean Plate Preps","South Jersey",NJ
"Clean Plate Preps NJ","South Jersey",NJ
"Kitchen 519","South Jersey",NJ
"Saker World Class Bakery","South Plainfield",NJ
"Shinjuku Station Sushi Bar US","South Plainfield",NJ
"Secret Tea Room at Reeves Reed Arboretum",Summit,NJ
"Hens and Honey Shoppe",Swedesboro,NJ
"Angora Mediterranean",Teaneck,NJ
"Sauced Up",Teaneck,NJ
"Sauced Up NJ",Teaneck,NJ
"Sweet T’s Southern Eatery",Teaneck,NJ
"Zina’s Steakhouse",Teaneck,NJ
"Big Easy of Downtown Trenton",Trenton,NJ
"Gloria Boyd Soul Food",Trenton,NJ
"Jean’s Kitchen",Trenton,NJ
"Royal Cakes & Cafe",Trenton,NJ
"Soul Food Sunday",Trenton,NJ
"Sweet Chili Swing Platter",Trenton,NJ
"Tracey's Kitchen",Trenton,NJ
"Tracey’s Kitchen",Trenton,NJ
"Unnamed Restaurant",Trenton,NJ
"Fried Crispy Chicken",Union,NJ
"Union Bar and Restaurant",Union,NJ
"SMAC kitchen","Union City",NJ
"Hidden Soul Food Restaurant",Vineland,NJ
"Taste Buds Soul Food",Vineland,NJ
"Girl with a grill","Voorhees Township",NJ
"Wagyu Steak",Weehawken,NJ
"favorite NJ restaurant","Weehawken Township",NJ
"The Concourse Club",Wood-Ridge,NJ
"Sole Food",Woodbridge,NJ
"Sole Food BBQ",Woodbridge,NJ
"that dinner spot","south jersey",NJ
"Agenda Astoria",Astoria,NY
"Kam Rai Thai",Astoria,NY
"The best hookah place",Astoria,NY
"hookah place",Astoria,NY
"El Xiringuito de la Barceloneta",Barcelona,NY
"La Boqueria Market",Barcelona,NY
"La Papa",Barcelona,NY
"Quimet y Quimet",Barcelona,NY
Roca,Berlin,NY
Dandelion,"Big Indian",NY
"Boogie Down Food Hall",Bronx,NY
"CEA-LOS - CAFE",Bronx,NY
"Taco Tuesday",Bronx,NY
"Vogue Restaurant Lounge",Bronx,NY
"Wing Wednesday",Bronx,NY
"1140 Utica Ave",Brooklyn,NY
"24hr soul food spot",Brooklyn,NY
"Bamboo Walk",Brooklyn,NY
"Bars and Delis",Brooklyn,NY
"Black Nile Seafood & Soul Food Halal Restaurant",Brooklyn,NY
"Breuklyn Tequila",Brooklyn,NY
"Brooklyn Chckn 'N' Lbstr",Brooklyn,NY
"Brooklyn Chckn n Lbstr",Brooklyn,NY
"CZEN Restaurant",Brooklyn,NY
"Dekalb Market Hall",Brooklyn,NY
"Dreams of Sugar",Brooklyn,NY
"EXOTIC EATS NYC",Brooklyn,NY
"Fandi Mata",Brooklyn,NY
"GG’s Fish & Chips",Brooklyn,NY
"HAAM Caribbean Plant Cuisine",Brooklyn,NY
"Jack's Dining Room",Brooklyn,NY
"Katie O's Soul Food",Brooklyn,NY
"Lazy Sundaes",Brooklyn,NY
"Little Oaxaca",Brooklyn,NY
"SOUL FOOD & SLIDERS",Brooklyn,NY
"Sofia and Grace Cookie Co.",Brooklyn,NY
"Superior Ingredients",Brooklyn,NY
"The Acoustik Garden Lounge",Brooklyn,NY
"The Love Lounge",Brooklyn,NY
"The Polar Lounge",Brooklyn,NY
"The Soul Spot",Brooklyn,NY
Veras,Brooklyn,NY
"Vera’s Soul Food",Brooklyn,NY
Woodland,Brooklyn,NY
"Woodzzy Bar & Outdoor Lounge",Brooklyn,NY
"Heavens Countertop",Buffalo,NY
"The Grub Plug",Buffalo,NY
"Cityview Rooftop Lounge and Event Space","College Point",NY
Nuser-et,Dubai,NY
"Oui Cocktail Lounge",Flatbush,NY
"King Bar by David Burke","Garden City",NY
"The Red Salt Room","Garden City",NY
"The Rose Room","Garden City",NY
"Jacob Soul Food Restaurant",Harlem,NY
"Mama Pearl's Kitchen",Harlem,NY
"Soul Food Restaurant",Harlem,NY
"Soul Food in Harlem",Harlem,NY
"The Best SoulFood In Harlem",Harlem,NY
"Pin𝐤 𝐋𝕖๓Ỗภ𝓪𝓭𝓮 Lounge",London,NY
"Pin𝐤 𝐋𝕖๕Ỗภ𝓪𝓭𝓮",London,NY
"Pin𝐤 𝐋𝕖๕Ỗภ𝓪𝓭𝓮 Lounge",London,NY
"Angie's Soul House","Long Island",NY
Brasas,"Long Island",NY
"Soul Food Spot","Long Island",NY
"Record Room","Long Island City",NY
"2 Floors NYC Nightclub",Manhattan,NY
"21 Greenpoint",Manhattan,NY
"230 Fifth",Manhattan,NY
"230 Fifth Rooftop",Manhattan,NY
"2331 12th Avenue",Manhattan,NY
"318 Lafayette",Manhattan,NY
"53 Restaurant",Manhattan,NY
"A Hidden Gem",Manhattan,NY
"A.R.T Nomad",Manhattan,NY
"Aakosha Bentley",Manhattan,NY
"Aliya Cocktail Den at Hotel Indigo",Manhattan,NY
"Amy Ruth's",Manhattan,NY
AnnTremet,Manhattan,NY
AperiBar,Manhattan,NY
"Aperol Spritz Bar",Manhattan,NY
"Apotheke Nomad",Manhattan,NY
"Aqua Boil",Manhattan,NY
"Arlo Nomad Diner",Manhattan,NY
"Arlo Nomad Rooftop",Manhattan,NY
"Artisano Peruvian Cuisine",Manhattan,NY
"Atlantic Restaurant",Manhattan,NY
Ayza,Manhattan,NY
"Ayza Wine & Chocolate Bar",Manhattan,NY
"Azul On The Rooftop",Manhattan,NY
"Baby Grand LES",Manhattan,NY
Backstage,Manhattan,NY
"Baires Grill",Manhattan,NY
"Bar Après",Manhattan,NY
"Bar Blondeau",Manhattan,NY
"Bar Cima",Manhattan,NY
"Bar Primi",Manhattan,NY
"Basquiat Bar",Manhattan,NY
"Birdland Jazz Club",Manhattan,NY
"Black Nile",Manhattan,NY
"Blossom's Soul Food Fusion",Manhattan,NY
"Blossoms Soul Food Fusion",Manhattan,NY
"Book Club Bar",Manhattan,NY
"Brunch for the People",Manhattan,NY
"Butler Bakery",Manhattan,NY
"Cafe Carmellini",Manhattan,NY
"Cafe Otto",Manhattan,NY
Cantina,Manhattan,NY
"Carnegie Deli",Manhattan,NY
"Casa Bond",Manhattan,NY
Cathedrale,Manhattan,NY
"Cecconi’s specifically at the Dumbo location",Manhattan,NY
"Cello’s Pizzeria",Manhattan,NY
"Christmas Bar",Manhattan,NY
"City Vineyards",Manhattan,NY
"Crazy Pizza",Manhattan,NY
Daintree,Manhattan,NY
"Datz Deli",Manhattan,NY
"Dear Irving On Hudson",Manhattan,NY
"Deli Boyz",Manhattan,NY
"Django Jazz",Manhattan,NY
"Docks Off 5th",Manhattan,NY
"Drink Up",Manhattan,NY
"Drink Up in NYC",Manhattan,NY
"Dumbo House",Manhattan,NY
"Eataly Flatiron",Manhattan,NY
"Ebi-ayo Supper",Manhattan,NY
"Ebi-ayo Supper Club",Manhattan,NY
"El Nico",Manhattan,NY
Essex,Manhattan,NY
FIELDTRIP,Manhattan,NY
"Fairytale Lounge",Manhattan,NY
"File Gumbo Bar",Manhattan,NY
"File Gumbo Louisiana Style Cuisine",Manhattan,NY
Fornino,Manhattan,NY
"Fried Catfish",Manhattan,NY
"Fried Catfish Today",Manhattan,NY
"Frosty’s",Manhattan,NY
Fumo,Manhattan,NY
"Gallow Green",Manhattan,NY
"Golden Diner",Manhattan,NY
"Grand Brasserie",Manhattan,NY
"Grinchy’s at Roberta’s",Manhattan,NY
H0L0,Manhattan,NY
"Heineken Riverdeck",Manhattan,NY
Highball,Manhattan,NY
"Highlight Room",Manhattan,NY
"Hotel Hennes NYC",Manhattan,NY
Huset,Manhattan,NY
"Industry Kitchen",Manhattan,NY
"Infused Ice Cream Spot",Manhattan,NY
"Jaffa Cocktail & Raw Bar",Manhattan,NY
"Jasmine’s Caribbean Cuisine",Manhattan,NY
"Jerk House Caribbean",Manhattan,NY
Kaizen,Manhattan,NY
"Kam Rai",Manhattan,NY
"Karla Restaurant",Manhattan,NY
Kebabwala,Manhattan,NY
Kjun,Manhattan,NY
"La Barca Cantina",Manhattan,NY
"La Boca",Manhattan,NY
"La Cubana",Manhattan,NY
Lacubana,Manhattan,NY
"Ladurée",Manhattan,NY
Laserwolf,Manhattan,NY
"Le Petit",Manhattan,NY
"Level Restaurant",Manhattan,NY
"Lighthouse Rooftop",Manhattan,NY
"Lily of The Valley Afternoon Tea",Manhattan,NY
"Lion’s Milk",Manhattan,NY
"Little Sister Lounge",Manhattan,NY
Lohi,Manhattan,NY
"Loreley Restaurant",Manhattan,NY
"Lost In Paradise",Manhattan,NY
"Lounge at Mandarin Oriental New York",Manhattan,NY
"Magaritaville Resort",Manhattan,NY
"Maison Close",Manhattan,NY
"Malibu Farm",Manhattan,NY
Maman,Manhattan,NY
Manhatta,Manhattan,NY
"Mariebelle Chocolate Experience",Manhattan,NY
"McDonald’s Popup",Manhattan,NY
"Medusa Mediterranean Cuisine",Manhattan,NY
"Mercury Lounge",Manhattan,NY
Metropolis,Manhattan,NY
"Mezze on the River",Manhattan,NY
"Mia’s Cocina",Manhattan,NY
"Mickey Spillane",Manhattan,NY
"Mickey Spillane's",Manhattan,NY
"Milk + Roses",Manhattan,NY
"Mission Ceviche",Manhattan,NY
"Mojito by David Burke",Manhattan,NY
"Monarch Rooftop",Manhattan,NY
"Murray’s Cheese Shop",Manhattan,NY
"Mustrd Restaurant",Manhattan,NY
"My fav bar",Manhattan,NY
"NYC Kitchen",Manhattan,NY
"New Star Deli",Manhattan,NY
"Nikki’s Kitchen",Manhattan,NY
"Oh WE TALKING OXTAILS",Manhattan,NY
Ollie,Manhattan,NY
"Olly Olly Market",Manhattan,NY
Ophelia,Manhattan,NY
"Ophelia Lounge",Manhattan,NY
"Oscar Wilde",Manhattan,NY
Oxtails,Manhattan,NY
PPL,Manhattan,NY
"Palm Court",Manhattan,NY
"Palm Court at The Plaza Hotel",Manhattan,NY
"Palma Verde",Manhattan,NY
Paninoteca,Manhattan,NY
"Panorama Room",Manhattan,NY
"Papillon Bistro & Bar",Manhattan,NY
"Partake NYC",Manhattan,NY
"Patridge Bistro & Bar",Manhattan,NY
"Patty Palace",Manhattan,NY
"Peak Restaurant & Bar",Manhattan,NY
"Pera Soho",Manhattan,NY
"Pier 17 Roof",Manhattan,NY
"Plantshed SoHo",Manhattan,NY
"Plowshares Coffee",Manhattan,NY
"Point Seven",Manhattan,NY
"Porter House",Manhattan,NY
"Portrait Bar",Manhattan,NY
"Postcard Bakery",Manhattan,NY
Prime39,Manhattan,NY
"Public Hotel",Manhattan,NY
"Ramen and Saki",Manhattan,NY
"Rasta Pasta",Manhattan,NY
"Record Room NYC",Manhattan,NY
"Refinery Rooftop",Manhattan,NY
"River Cafe",Manhattan,NY
"Rolfs German Restaurant",Manhattan,NY
"Sahola Coffee",Manhattan,NY
"Saint Lounge NYC",Manhattan,NY
"San Sabino",Manhattan,NY
"Scarr’s Pizza",Manhattan,NY
"Shawnae’s House",Manhattan,NY
Shirokuro,Manhattan,NY
SmashBurger,Manhattan,NY
"Smoke Jazz Club & Supper Club",Manhattan,NY
"Somewhere Nowhere",Manhattan,NY
"Somewhere Nowhere Rooftop",Manhattan,NY
"Somewhere Nowhere Rooftop at Renaissance NY",Manhattan,NY
"Soul Food",Manhattan,NY
"Soul N The Hole",Manhattan,NY
"Spicy Moon",Manhattan,NY
"Spicy Village",Manhattan,NY
"Spyglass Rooftop",Manhattan,NY
"Stout NYC",Manhattan,NY
"Sushi Suite 1001",Manhattan,NY
"Sweet Cats",Manhattan,NY
"Sweet Moment",Manhattan,NY
"Sylvia’s Restaurant",Manhattan,NY
"Søul",Manhattan,NY
"T Lounge NYC",Manhattan,NY
"TS Bar",Manhattan,NY
"TWA Lounge",Manhattan,NY
"Table For Two",Manhattan,NY
"Taqueria El Chato",Manhattan,NY
"Tarallucci e Vino",Manhattan,NY
"Tavern on the Green",Manhattan,NY
"Temple Court inside Beekman Hotel",Manhattan,NY
"Ten 11",Manhattan,NY
"The Atelier Jolie",Manhattan,NY
"The Baazar at The Ritz Carlton",Manhattan,NY
"The Boom Room",Manhattan,NY
"The Box NYC",Manhattan,NY
"The Cabinet",Manhattan,NY
"The City Is Ours NYC",Manhattan,NY
"The Fine Wine Experience NYC",Manhattan,NY
"The Flatiron Room Murray Hill",Manhattan,NY
"The Fleur Room",Manhattan,NY
"The Grid",Manhattan,NY
"The Guesthouse Bistro & Bar",Manhattan,NY
"The Hairy Lemon",Manhattan,NY
"The Living Room",Manhattan,NY
"The Monkey Cup",Manhattan,NY
"The Nines",Manhattan,NY
"The Plaza Hotel",Manhattan,NY
"The Ready Rooftop",Manhattan,NY
"The Roof at Public Hotel",Manhattan,NY
"The Royal Palms Shuffleboard",Manhattan,NY
"The Vixen Of Soul Food",Manhattan,NY
"Three Peaks Lodge",Manhattan,NY
UNLISTED,Manhattan,NY
"Unnamed Venue",Manhattan,NY
"Urban Cove",Manhattan,NY
"Van Leeuwen",Manhattan,NY
"Vert Frais",Manhattan,NY
"Vert Frais Japanese Eatery",Manhattan,NY
"Wabi Nori",Manhattan,NY
Watermark,Manhattan,NY
Westlight,Manhattan,NY
"Wonderland Cocktail Bar",Manhattan,NY
"Woodland’s",Manhattan,NY
Yingtao,Manhattan,NY
Zoi,Manhattan,NY
nychookahlounge,Manhattan,NY
speakeasy,Manhattan,NY
thecityisoursnyc,Manhattan,NY
unknown,Manhattan,NY
"unknown poké bowl restaurant",Manhattan,NY
"unknown restaurant",Manhattan,NY
"Garage Grill",Marlboro,NY
"Newyork lounge",Mekelle,NY
Wynwood,"Multiple Locations",NY
"Grand Hyatt",Nassau,NY
Rosewood,Nassau,NY
SLS,Nassau,NY
Bittersweet,Neversink,NY
"Noma Social","New Rochelle",NY
"G & H Deli",Newburgh,NY
"A Guyanese-Chinese restaurant","North Baldwin",NY
"Guyanese-Chinese restaurant","North Baldwin",NY
Allard,Paris,NY
"Bar Les Ambassadeurs",Paris,NY
"Brasserie Flottes",Paris,NY
"Breizh Cafe",Paris,NY
"Cafe Carette",Paris,NY
"Cafe Laperouse",Paris,NY
"Cafe de l’Homme",Paris,NY
Carette,Paris,NY
"Chez Janou",Paris,NY
"Cinq Mars",Paris,NY
Derriere,Paris,NY
"La Renommee",Paris,NY
"Laduree Carrousel du Lourve",Paris,NY
"Le Procope",Paris,NY
"Le Tout",Paris,NY
"Le Voltaire",Paris,NY
"Les Jules Verne",Paris,NY
"L’Avant Comptoir de la Terre",Paris,NY
"Marius et Janette",Paris,NY
"Robert et Louise",Paris,NY
Stohrer,Paris,NY
"Blend lounge",Queens,NY
"Chew the Fat",Queens,NY
"Delicious Soul Food",Queens,NY
"Little Guyana Restaurant and Lounge",Queens,NY
Mayahuel,Queens,NY
"Queens Juici Patties",Queens,NY
"Soul City",Queens,NY
"Soul City Taste Test",Queens,NY
"The Green Grump Christmas Pop Up Bar",Queens,NY
"The Rooftop",Queens,NY
"Underground Lounge",Queens,NY
"Tootsies Everything Waffle",Quinby,NY
Dasheene,"Saint Lucia",NY
"Chai Qahwah Lounge",Selden,NY
"the Apartment",SoHo,NY
"Harpers Southampton",Southampton,NY
"Honey Fried Chicken","Staten Island",NY
"Shaw-nae’s House","Staten Island",NY
"Shawna's House","Staten Island",NY
"Shawnae's House","Staten Island",NY
"Søul Mac","Staten Island",NY
"Le Chalet","Upstate New York",NY
"The Shed",Westbury,NY
"Volpe Ristorante at The Fox Hollow",Woodbury,NY
"Fire steak en vis restaurant",Zolder-Boekt,NY
"Chano's Cantina",Astoria,"New York"
"Christos Steak House",Astoria,"New York"
"La Vecina",Astoria,"New York"
"Truth Restaurant Astoria",Astoria,"New York"
"Zikrayat Restaurant & Lounge",Astoria,"New York"
Beatstro,Bronx,"New York"
"Rosa's At Park",Bronx,"New York"
"Vistamar Restaurant & Lounge",Bronx,"New York"
"Amber Steak House",Brooklyn,"New York"
"Bee's Knees & Honey Lounge",Brooklyn,"New York"
"Blend Williamsburg",Brooklyn,"New York"
"Casa Ora",Brooklyn,"New York"
"El Zason",Brooklyn,"New York"
"Flava II Restaurant & Lounge",Brooklyn,"New York"
"Jajaja Mexicana",Brooklyn,"New York"
"Juliette Restaurant",Brooklyn,"New York"
"LILLI RESTAURANT",Brooklyn,"New York"
"La Nonna Ristorante & Bar - Williamsburg, Brooklyn",Brooklyn,"New York"
"Rule of Thirds",Brooklyn,"New York"
Sereneco,Brooklyn,"New York"
"Sungold Restaurant Brooklyn NY (Arlo Williamsburg)",Brooklyn,"New York"
"Westville Williamsburg",Brooklyn,"New York"
"Win Son",Brooklyn,"New York"
"de Mole",Brooklyn,"New York"
"Fogo de Chão Brazilian Steakhouse",Elmhurst,"New York"
"Gyu-Kaku Japanese BBQ",Flushing,"New York"
"Nick's Bistro",Flushing,"New York"
"PRIME Mēt Steakhouse",Flushing,"New York"
"PRIME Mēt Steakhouse",Flushing,"New York"
Mojo,"Forest Hills","New York"
"Salvaje Social Club NYC","Jackson Heights","New York"
"Blend on the Water","Long Island City","New York"
"Citrico Cafe","Long Island City","New York"
"Dai Hachi Sushi in Long Island City","Long Island City","New York"
Maiella,"Long Island City","New York"
"Soothr LIC","Long Island City","New York"
"Vista Sky Lounge","Long Island City","New York"
"Vista Sky Lounge","Long Island City","New York"
Sinigual,Manhattan,"New York"
Sinigual,Manhattan,"New York"
"Altair Restaurant NYC","New York","New York"
"Aretsky's Patroon","New York","New York"
"Ascent Lounge","New York","New York"
"Añejo","New York","New York"
"Añejo Tribeca","New York","New York"
BG,"New York","New York"
Barawine,"New York","New York"
Benihana,"New York","New York"
"Black Iron Burger Theater District | Hamburger restaurant Bar","New York","New York"
"Broadway Lounge","New York","New York"
"Cafe Ginori at Bergdorf Goodman","New York","New York"
"Cafe d’Alsace","New York","New York"
"Caliente Cab Co.","New York","New York"
"Casa Carmen Flatiron","New York","New York"
"Casa Cruz Upper East Side Restaurant","New York","New York"
"Castell Rooftop Lounge","New York","New York"
"Catch n' Chop","New York","New York"
"Chele's","New York","New York"
Cibar,"New York","New York"
"Cilantro West","New York","New York"
"Community Food & Juice","New York","New York"
Contour,"New York","New York"
"Crave Fishbar Upper West Side | Raw Bar & Seafood restaurant","New York","New York"
"Célon Bar & Lounge","New York","New York"
"Dos Caminos","New York","New York"
"Dos Caminos","New York","New York"
"Dos Caminos","New York","New York"
Elea,"New York","New York"
"Frida Midtown","New York","New York"
"Harlem Tavern","New York","New York"
"Havana Central Times Square","New York","New York"
"Havana Heights","New York","New York"
"Haven Rooftop","New York","New York"
"Hoexter's","New York","New York"
"IL Carino Restaurant","New York","New York"
"Jajaja Mexicana","New York","New York"
Javelina,"New York","New York"
"JoJo by Jean-Georges","New York","New York"
Kahlo,"New York","New York"
"Koi New York","New York","New York"
"Korali Estiatorio","New York","New York"
"La Palapa","New York","New York"
"La Pecora Bianca Midtown","New York","New York"
"Le Monde","New York","New York"
"Lex Restaurant","New York","New York"
"Lido Harlem Restaurant","New York","New York"
"Magic Hour Rooftop Bar & Lounge","New York","New York"
"Maison Harlem","New York","New York"
"Mamasita Bar & Grill","New York","New York"
Mamasushi,"New York","New York"
"Mamazul Mexican Grill","New York","New York"
"Marlow Bistro","New York","New York"
"Marlow East","New York","New York"
Maya,"New York","New York"
"Mexiterranean Grill","New York","New York"
"Mykonian House","New York","New York"
"Móle Mexican Bar & Grill - West Village","New York","New York"
Nizuc,"New York","New York"
"Nobu Downtown","New York","New York"
"Nobu Fifty Seven","New York","New York"
Oso,"New York","New York"
"Patrick's on the Hill","New York","New York"
"Pil Pil","New York","New York"
"Pink Taco","New York","New York"
"Playa Betty’s","New York","New York"
"RT60 Rooftop Bar & Lounge","New York","New York"
"Red Rooster Harlem","New York","New York"
"Rosa Mexicano","New York","New York"
"Rosa Mexicano","New York","New York"
"Rosehill Rooftop","New York","New York"
"Row House","New York","New York"
"San Babila NYC","New York","New York"
"Smith & Wollensky","New York","New York"
Sofrito,"New York","New York"
"TAO Uptown","New York","New York"
"The Alderman","New York","New York"
"The Fox Harlem","New York","New York"
"The Mermaid Inn Upper West Side","New York","New York"
"The Shell Seafood Kitchen & Bar","New York","New York"
"The Skylark - Rooftop Bar","New York","New York"
Tinos,"New York","New York"
Toloache,"New York","New York"
Toloache,"New York","New York"
"Toro Loco","New York","New York"
"Up Thai","New York","New York"
"Vinatería","New York","New York"
Boske,Queens,"New York"
"ZAAB ZAAB",Queens,"New York"
