name,address,city,state,neighborhood,category,google_place_id,phone,website
"Italian restaurant","1063 Wisconsin Ave NW, Washington, DC 20007, USA","Washington, DC",DC,,dining,ChIJPTqF_Uu2t4kR9o9RyZkZPWA,,http://www.filomena.com/
drift,"3793 NE Ocean Blvd, Jensen Beach, FL 34957, USA","Hutchinson Island",FL,,dining,ChIJVVUV2ynn3ogRxPqwOPFgZPg,,https://www.opalcollection.com/hutchinson-shores/restaurants/drift/?utm_source=google&utm_medium=listing&utm_campaign=opal+hutchinson+shores+resort+drift+kitchen+and+bar
"Kaikai Farm","8006 SW Kanner Hwy, Indiantown, FL 34956, USA",Indiantown,FL,,dining,ChIJoRIjlvzF3ogRT5ItQsB3QN4,,http://www.kaikaifarm.com/
"Ball and Chain","1513 SW 8th St, Miami, FL 33135, USA","Little Havana",FL,,dining,ChIJe4rXvvC22YgRpjGQg1PlJmM,,https://ballandchainmiami.com/
"Café Bastille","248 SE 1st St, Miami, FL 33131, USA",Miami,FL,"Downtown Miami",dining,ChIJG2-9xp222YgRJ_Dqby74tmg,,
"Tropezón","512 Española Wy, Miami Beach, FL 33139, USA",Miami,FL,"South Beach",dining,ChIJc4mfwJC12YgRp-xmikc1zf4,,
Macchialina,"820 Alton Rd, Miami Beach, FL 33139, USA","Miami Beach",FL,"South Beach",dining,ChIJIUhk5oq02YgRsQu7AiC8UQU,,
"Strawberry Moon","601 Washington Ave, Miami Beach, FL 33139, USA","Miami Beach",FL,"South Beach",dining,ChIJF3NeVx612YgRRf7_Hl01YR0,,
"Lovely’s","1806 NW 183rd St, Miami Gardens, FL 33056, USA","Miami Gardens",FL,,dining,ChIJ89g5r1Su2YgRLGPMRbnvipE,,https://flow.page/lovelysurbanfusion
"Twenty Pho Hour","11951 International Dr B-2, Orlando, FL 32821, USA",Orlando,FL,,dining,ChIJ6UE24r-B3YgRfniKYNRBAtA,,http://twenty-pho-hour.com/orlando
"Moe's","85 5th St NW, Atlanta, GA 30332, USA",Atlanta,GA,"Midtown Atlanta",dining,ChIJi6R47GYE9YgREuoy0aD94Us,,https://locations.moes.com/ga/atlanta/85-5th-st-nw?utm_source=google&utm_medium=organic&utm_campaign=locations_partner
"Paradox Lounge","1059 Virginia Ave, Indianapolis, IN 46203, USA",Atlanta,GA,"Fountain Square",nightlife,ChIJf-8Rdqdba4gROFUjl2cuWEM,,http://www.theparadoxlounge.com/
"International Kabab House","6045 Memorial Dr suite 15, Stone Mountain, GA 30083, USA","Stone Mountain",GA,,dining,ChIJk2NzH1yp9YgRb_GF15g0yvI,,https://platerate.com/restaurant/international-kabab-house-stone-mountain-ga
"Black Shamrock Tavern","902 Nuuanu Ave, Honolulu, HI 96817, USA",Honolulu,HI,,dining,ChIJVYfD9MtvAHwR1H-Gz8gN0bQ,,http://www.blackshamrocktavern.com/
"Ground Level Lounge","1538 Makaloa St, Honolulu, HI 96814, USA",Honolulu,HI,,nightlife,ChIJHf74QThtAHwRyBvxqi6kLIc,,https://hawaiihookahlounge.com/
"HANGRY CLUCK","7759 S Cicero Ave, Chicago, IL 60652, USA",Chicago,IL,Scottsdale,dining,ChIJ3drYhdQxDogRCGErVG9r_5c,,
Prova,"1523 W Chicago Ave, Chicago, IL 60642, USA",Chicago,IL,"West Town",dining,ChIJseVXOfHTD4gRZ3f6t3Gmkok,,
"Osteria Francescana","Via Stella, 22, 41121 Modena MO, Italy",Modena,Italy,,dining,ChIJf_Es1BLvf0cRXen4-JhzYBk,,http://www.osteriafrancescana.it/
"Shirafù Kirchberg","Centre commercial Auchan, 5 Rue Alphonse Weicker, 2721 Kirchberg Luxembourg",Luxembourg,L-2721,Kirchberg,dining,ChIJpXY2XgFPlUcRI8PZ6tuaa3U,,https://www.shirafu-auchan.lu/
"Pauli’s","65 Salem St, Boston, MA 02113, USA",Boston,MA,"North End",dining,ChIJY2a5LY9w44kRZxA0x_pkyk0,,
"Student Prince","8 Fort St, Springfield, MA 01103, USA",Springfield,MA,,dining,ChIJJUcrUN7m5okRZC_gZEOtNhU,,http://www.studentprince.com/
MDRD,"187 Monroe Ave NW 27th Floor, Grand Rapids, MI 49503, USA","Grand Rapids",MI,,dining,ChIJVVUVXsWtGYgRQJLhFcH7cZI,,http://www.amwaygrand.com/dining/mdrd
"Hookah Lounge","6608 Delmar Blvd, University City, MO 63130, USA","St. Louis",MO,"Delmar Loop",nightlife,ChIJOULSgOg134cRcaKjkVa5I8s,,
"3BK Dubai","Level 3, Armani Hotel Dubai - برج خليفة - بوليفارد الشيخ محمد بن راشد - برج خليفة - دبي - United Arab Emirates",Dubai,N/A,"برج خليفة",dining,ChIJUUpqvgVDXz4RgVl27UZC1ko,,
"やおきパン","1-chōme-30-7 Hakozaki, Higashi Ward, Fukuoka, 812-0053, Japan",Fukuoka,N/A,30,dining,ChIJc6MV5DCOQTUR7HFfJ00Dy-0,,
"やぐら","2-chōme-9-28 Hakata Ekimae, Hakata Ward, Fukuoka, 812-0011, Japan",Fukuoka,N/A,9,dining,ChIJQYD8nsCRQTURzbltVHxeIig,,https://japoncompany.business/fukuoka/540787-yagura
"今屋のハンバーガー","Japan, 〒810-0061 Fukuoka, Chuo Ward, Minato, 3-chōme−9−５ 西公園 東側駐車場",Fukuoka,N/A,9,dining,ChIJkyBo5jmSQTURI-qh-PngAKk,,https://imayahamburger.com/
"Bob’s Diner","Jalapa 110, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico","Mexico City",N/A,"Roma Norte",dining,ChIJJ-XsCIH_0YUR46SZFJsuzsU,"55 5499 7643",https://boboburgers.mx/
"Cardinal Casa de Café","Córdoba 132, Roma Nte., Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico","Mexico City",N/A,"Roma Norte",dining,ChIJ05Z2Hzv_0YURcUimdYlMwkM,,
"Citizen Rooftop","297 Avenue, Av. P.º de la Reforma 297-Piso 38, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico","Mexico City",N/A,"Cuauhtémoc",nightlife,ChIJT5PlRbD_0YURaPb_zwAOteo,"",https://www.sofitel-mexico-city.com/restaurants/cityzen-rooftop/
"Expendio de Maíz","Av. Yucatán 84, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico","Mexico City",N/A,"Roma Norte",dining,ChIJUYDQNgL_0YURYhvNnCzntYY,"",https://instagram.com/exp_maiz
"Handshake Speakeasy","C. Amberes 65, Juárez, Cuauhtémoc, 06600 Ciudad de México, CDMX, Mexico","Mexico City",N/A,"Juárez",nightlife,ChIJU_vg0kID0oUR37k2I3XazcM,"",http://www.handshake.bar/
"La Gruta","Centro, C. Ignacio Mariscal 7, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, Mexico","Mexico City",N/A,Tabacalera,dining,ChIJV708PtT40YUR3Z_8ufYV-IM,"",""
"Panadería Rosetta","Colima 179, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico","Mexico City",N/A,"Roma Norte",dining,ChIJ-_GNczr_0YURLJgHYS8ZPMg,"55 5207 2976",""
"Tacos El Don","Boulevard cataratas, sin número esquina, Llanura, Jardines del Pedregal de San Ángel, Coyoacán, 04500 Ciudad de México, CDMX, Mexico","Mexico City",N/A,"Jardines del Pedregal de San Ángel",dining,ChIJddSaKtf_zYUR8qDT5FWydd8,,
"Piazza di Roma","1178 NJ-34, Aberdeen Township, NJ 07747, USA",Aberdeen,NJ,Strathmore,dining,ChIJF7xK3tXMw4kRMrkF_n8mpZM,,https://www.piazzadiroma.com/
"Limoncello at Piazza di Roma","1178 NJ-34, Aberdeen Township, NJ 07747, USA","Aberdeen Township",NJ,Strathmore,dining,ChIJCWFvqkfNw4kRUOETqX2NhaQ,"(732) 583-3565",https://www.piazzadiroma.com/limoncello
"Heirloom Kitchen","408 7th Ave, Asbury Park, NJ 07712, USA","Asbury Park",NJ,,dining,ChIJFRmioaInwokRn0Ep1ZZGJ7U,,https://thestlaurent.com/
"The Saint Laurent Social Club","408 7th Ave, Asbury Park, NJ 07712, USA","Asbury Park",NJ,,lounge,ChIJER1uTFMnwokRVBSZvZKeSwU,,http://www.thestlaurent.com/
"Habeebi’s Soul Food","218 N South Carolina Ave, Atlantic City, NJ 08401, USA","Atlantic City",NJ,,dining,ChIJN_xE9kfuwIkRJK3B57MCyuM,,https://instagram.com/habeebis.ac?igshid=NGVhN2U2NjQ0Yg==&utm_source=qr
"Kelsey’s Soul Food AC","1545 Pacific Ave, Atlantic City, NJ 08401, USA","Atlantic City",NJ,,dining,ChIJIRFhgUDuwIkRayrowhqvwkU,,http://www.kelseysac.com/
"The Balcony","1000 Boardwalk, Atlantic City, NJ 08401, USA","Atlantic City",NJ,,nightlife,ChIJs2f7gQ7vwIkRWMz7sygHmdU,,https://casino.hardrock.com/atlantic-city/nightlife/the-balcony
"Feed Ya Soul","1020 Rahway Ave, Avenel, NJ 07001, USA",Avenel,NJ,Avenel,dining,ChIJ7RuJ1pe1w4kR_-6sMEvZCvo,,http://www.feedyasoul.com/
"Hills of Herat","665 Martinsville Rd, Basking Ridge, NJ 07920, USA","Basking Ridge",NJ,"Basking Ridge",dining,ChIJcbUytZS9w4kRnBzwM4MNBvI,,http://hillsofherat.com/
"American On J","959 Broadway, Bayonne, NJ 07002, USA",Bayonne,NJ,,dining,ChIJU6u35nZRwokRqCVSn2E2EUY,,http://www.americanonj.com/
Americano,"959 Broadway, Bayonne, NJ 07002, USA",Bayonne,NJ,,dining,ChIJU6u35nZRwokRqCVSn2E2EUY,,http://www.americanonj.com/
"Ms Wandas","906-908 Broadway, Bayonne, NJ 07002, USA",Bayonne,NJ,,dining,ChIJ7X_tCQBRwokRCzxDLUsvz8k,,
"Beyond Soul","Dwight Plaza, 139-157 7th Ave, Newark, NJ 07104, USA",Belleville,NJ,"Seventh Avenue",dining,ChIJCZtWBCBVwokRxkeWmroTJJ4,,https://www.beyond-soul.com/
"Xaman Room Speakeasy","170 Washington Ave, Belleville, NJ 07109, USA",Belleville,NJ,,nightlife,ChIJ4VjnMWBVwokRmrjKeQgYWpM,,http://agavemarianj.com/
CHEESSTEAKS,"821 Belmar Blvd, Belmar, NJ 07719, USA",Belmar,NJ,,dining,ChIJORQlNSonwokRGkLUDVCp--U,,https://www.cheessteaks.com/
DJais,"1801 Ocean Ave, Belmar, NJ 07719, USA",Belmar,NJ,,nightlife,ChIJQ-XO6fAnwokR5mxqEJs72sE,,http://djais.com/
"Kaya’s Kitchen","1000 Main St, Belmar, NJ 07719, USA",Belmar,NJ,,dining,ChIJdQnlfeEnwokRS_pslQ9k_eg,,https://kayaskitchenbelmar.com/
"Pink Cabana","Belmar Beach, Belmar Boardwalk, Belmar, NJ 07719, USA",Belmar,NJ,,dining,ChIJV3nqWn0nwokRpAwDo2xe6Y4,,https://cabanaconj.com/
"Blue Steel Pizza Company","Inside 7 Doors Down, 273 Glenwood Ave, Bloomfield, NJ 07003, USA",Bloomfield,NJ,"",dining,ChIJ__8royNVwokR_0KFYZn59Ew,"(856) 543-9480",http://www.bluesteelpizzaco.com/
"Casa de Flora Bar Luxury Cafe","75 Washington St, Bloomfield, NJ 07003, USA",Bloomfield,NJ,,lounge,ChIJ53ODACVVwokR3eFuhwuXvdw,,http://www.casadeflorabar.com/
"Crabs on the Way","16 Myrtle St, Bloomfield, NJ 07003, USA",Bloomfield,NJ,Watsessing,dining,ChIJb2NITwBVwokR35HhcB_Beh8,"(973) 337-8543",
"Grove Grill","143 Grove St, Bloomfield, NJ 07003, USA",Bloomfield,NJ,"Ampere North",dining,ChIJFUGzP2tVwokRlvt6se_IQuk,,http://thegrovegrillnj.com/
"The Grove Grill","143 Grove St, Bloomfield, NJ 07003, USA",Bloomfield,NJ,"Ampere North",dining,ChIJFUGzP2tVwokRlvt6se_IQuk,,http://thegrovegrillnj.com/
"Di Fara","1424 Avenue J, Brooklyn, NY 11230, USA",Brick,NJ,Midwood,dining,ChIJM2mGRMhEwokRv1Fy6oFJ570,,https://www.difarapizzany.com/
"Cheese Plate Queen","400 7th Ave, Brooklyn, NY 11215, USA",Brooklyn,NJ,"Park Slope",dining,ChIJf_UbrcdbwokRMuBEYoFY2Vk,,http://cheeseplatebrooklyn.com/
"Leah's Cucina","4916 Fort Hamilton Pkwy, Brooklyn, NY 11219, USA",Brooklyn,NJ,"Borough Park",dining,ChIJYXVfLjNFwokRTFls4CLTqLc,"(718) 438-1176",
Razzan,"486 85th St, Brooklyn, NY 11209, USA",Brooklyn,NJ,"Bay Ridge",dining,ChIJmcUimmBFwokRUpN499S83Mk,"(347) 662-6208",https://eatruzana.com/
"Shaka Club","64 6th Ave, Brooklyn, NY 11217, USA",Brooklyn,NJ,"Prospect Heights",nightlife,ChIJde7BIldbwokRPkZhR7gAoVk,"(347) 689-3184",
ShopRite,"1080 McDonald Ave, Brooklyn, NY 11230, USA",Brooklyn,NJ,Mapleton,dining,ChIJ1XfDTtdEwokRNdFLltgwckY,"(718) 252-5770",https://www.shoprite.com/?utm_source=GMB&utm_medium=Local_Search&utm_campaign=dbaPlatform&utm_term=218
"Sisters Spot","900 Fulton St, Brooklyn, NY 11238, USA",Brooklyn,NJ,"Clinton Hill",dining,ChIJi73FVqNbwokRZ4KIqLtNoFw,"(347) 763-2537",http://sistersbklyn.com/
"Soul Food NJ","409 Eastern Pkwy, Brooklyn, NY 11216, USA",Brooklyn,NJ,"Crown Heights",dining,ChIJR_ch0LxbwokRXouTAZGjl7A,"(718) 493-7685",http://www.cornbreadsoul.com/
"Stop & Shop","625 Atlantic Ave, Brooklyn, NY 11217, USA",Brooklyn,NJ,"Fort Greene",dining,ChIJR_hhk_BawokRN4V0ft2szFs,"(718) 399-6161",https://stores.stopandshop.com/ny/brooklyn/625-atlantic-ave?y_source=1_NDE5NTc1Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
"Vinnie's Pizzeria","148 Bedford Ave, Brooklyn, NY 11249, USA",Brooklyn,NJ,Williamsburg,dining,ChIJbSt7rF1ZwokRrnJ-xbOu0i4,"(718) 782-7078",http://vinniespizzeria.com/
"best soul food spot","409 Eastern Pkwy, Brooklyn, NY 11216, USA",Brooklyn,NJ,"Crown Heights",dining,ChIJR_ch0LxbwokRXouTAZGjl7A,"(718) 493-7685",http://www.cornbreadsoul.com/
"Calandra's","234 Bloomfield Ave #5101, Caldwell, NJ 07006, USA",Caldwell,NJ,,dining,ChIJs_1iV4IAw4kR4C-6pAimDls,,https://calandrasitalianvillage.com/
"il Vecchio Cafe","234 Bloomfield Ave, Caldwell, NJ 07006, USA",Caldwell,NJ,,dining,ChIJs_1iV4IAw4kRelzwPuA473g,,http://ilvecchiocafe.com/?UTM_source=GMB_listing&UTM_medium=organic
"Bookers Lounge","1401 Broadway, Camden, NJ 08104, USA",Camden,NJ,"Bergen Square",nightlife,ChIJT5uITMPIxokRgRtEWPZ33fU,,
Kheese,"Unit 93 - 94, Chalk Farm Rd, Chalk Farm, London NW1 8AH, UK",Camden,NJ,"Chalk Farm",dining,ChIJIycoE-QadkgRkSDT_h7jfe4,,http://www.pickandcheese.com/
"Kings Men LLC","1560 W Wedgewood Ln, Oak Harbor, WA 98277, USA",Camden,NJ,,dining,ChIJv13tydSLj1QRHrYL7_1v2Kc,,http://www.kingsmenco.net/
"Krack & Kheese","Unit 93 - 94, Chalk Farm Rd, Chalk Farm, London NW1 8AH, UK",Camden,NJ,"Chalk Farm",dining,ChIJIycoE-QadkgRkSDT_h7jfe4,,http://www.pickandcheese.com/
"Steven Soul Food","785 Spruce St, Camden, NJ 08103, USA",Camden,NJ,"Bergen Square",dining,ChIJ5ejJilrJxokRkVfPbPYDN3o,,
"Taco Loco","2311 Federal St, Camden, NJ 08105, USA",Camden,NJ,Dudley,dining,ChIJSZd0aAnJxokRbKXiv7AKdcI,,https://www.instagram.com/mytacoloco/?hl=en
"Tony and Ruth's Steaks","837 N 8th St, Camden, NJ 08102, USA",Camden,NJ,"Pyne Point",dining,ChIJMb2mAVbIxokROZVnHVl7Xhc,,
"Monai soulfood","1506 Roosevelt Ave, Carteret, NJ 07008, USA",Carteret,NJ,,dining,ChIJK_p14qyzw4kRheH_GhE73sM,,https://monais.top/
"Monai's","1506 Roosevelt Ave, Carteret, NJ 07008, USA",Carteret,NJ,"",dining,ChIJK_p14qyzw4kRheH_GhE73sM,"(908) 733-4612",https://monais.top/
"Monai’s Soul Food Restaurant","1506 Roosevelt Ave, Carteret, NJ 07008, USA",Carteret,NJ,,dining,ChIJK_p14qyzw4kRheH_GhE73sM,,https://monais.top/
"Ou La","29 Washington Ave, Carteret, NJ 07008, USA",Carteret,NJ,,dining,ChIJH_PGwX-1w4kRDeHaNcaVXtE,,https://www.oulanj.com/
"Amazin Taste","71 Main St, South Bound Brook, NJ 08880, USA","Central NJ",NJ,,dining,ChIJEX8_SGC_w4kRrsyrCZR04kY,,
"Boiling House","1990 Marlton Pike, Cherry Hill Township, NJ 08003, USA","Cherry Hill",NJ,Greentree,dining,ChIJw9jCHKU0wYkRAZkhh05VSU8,,http://www.boilinghouse.com/
"Crab Cakes","1990 Marlton Pike # 11, Cherry Hill Township, NJ 08003, USA","Cherry Hill",NJ,Greentree,dining,ChIJa5B1rbwywYkRyojlZBwU0TA,,http://www.bobbychezcrabcakes.com/
"New Restaurant","2000 NJ-38 #1025, Cherry Hill Township, NJ 08002, USA","Cherry Hill",NJ,"Cherry Hill Mall",dining,ChIJXfRcT4PLxokR16xsrQZbnhs,,http://koomacherryhill.com/
Shangri-La,"100 Springdale Rd B-11, Cherry Hill Township, NJ 08003, USA","Cherry Hill",NJ,Springdale,dining,ChIJ6SErktHMxokR0q00C-r4Kkg,,http://shangrilanj.com/?utm_source=GMBListing&utm_medium=organic&utm_campaign=googlebusinessprofile
"Shangri-La Chill","100 Springdale Rd B-11, Cherry Hill Township, NJ 08003, USA","Cherry Hill",NJ,Springdale,dining,ChIJ6SErktHMxokR0q00C-r4Kkg,,http://shangrilanj.com/?utm_source=GMBListing&utm_medium=organic&utm_campaign=googlebusinessprofile
Tuscana,"1990 Marlton Pike, Cherry Hill Township, NJ 08003, USA","Cherry Hill",NJ,Greentree,dining,ChIJYQkbmaU0wYkRiuGFmo1qRaE,,http://www.toscanacherryhill.com/
"bistro cherry hill","57 Kings Hwy E, Haddonfield, NJ 08033, USA","Cherry Hill",NJ,,dining,ChIJ5xrOg3PMxokRhXNZLEk2O8Q,,https://bistronj.com/
"Star Tavern","400 High St, City of Orange, NJ 07050, USA","City of Orange",NJ,"",dining,ChIJ3Q2iwS6rw4kRVlryjjDPrV8,"(973) 675-3336",https://www.startavern.net/
"Lumpy’s BBQ","1261 Blackwood-Clementon Rd, Clementon, NJ 08021, USA",Clementon,NJ,,dining,ChIJxZPpt2jSxokRvtmg1G2XnPk,,https://lumpysbbqnj.menufy.com/order
Bogeys,"103 Valley Rd, Clifton, NJ 07013, USA",Clifton,NJ,"",dining,ChIJM_MkzX3-wokRCQcpUyOxbPA,"(862) 257-3964",http://bogeyssportbar0792.s4shops.com/
"Bubamara Cafe","263 Parker Ave, Clifton, NJ 07011, USA",Clifton,NJ,"Botany Village",dining,ChIJa9Sn07T-wokRSv_iQ6Sv4Ew,,https://cafebubamara.cafe/?utm_source=google
"Cafe Bubamara","263 Parker Ave, Clifton, NJ 07011, USA",Clifton,NJ,"Botany Village",dining,ChIJa9Sn07T-wokRSv_iQ6Sv4Ew,,https://cafebubamara.cafe/?utm_source=google
"Damasco Cafe NJ","600 Getty Ave, Clifton, NJ 07011, USA",Clifton,NJ,,dining,ChIJHTG5NFP_wokRegGfxLD00Uk,,
"Damascus Cafe","600 Getty Ave, Clifton, NJ 07011, USA",Clifton,NJ,,dining,ChIJHTG5NFP_wokRegGfxLD00Uk,,
"La Bonita","394 Lexington Ave, Clifton, NJ 07011, USA",Clifton,NJ,"Botany Village",dining,ChIJN5Hifbr_wokRfj2SrNJ_2_U,,https://www.labonitanj.com/
"Made in Miami","39 Harding Ave, Clifton, NJ 07011, USA",Clifton,NJ,,dining,ChIJU_nGLFr_wokR4ynmsJiZ2Ik,,http://madeinmiami.io/
"Tommy’s","826 NJ-3, Clifton, NJ 07012, USA",Clifton,NJ,,dining,ChIJ3UHjIwL_wokRSRw4_0B1Va8,,https://www.tommystavernandtap.com/clifton-nj
Yasmeen,"247 Piaget Ave, Clifton, NJ 07011, USA",Clifton,NJ,,dining,ChIJ2d5DQ77-wokRwomlOtqXq2o,,http://yasmeennj.com/
"exact venue name","Clifton College, 32 College Rd, Clifton, Bristol BS8 3JH, UK",Clifton,NJ,Clifton,dining,ChIJF2Mqe7-NcUgRcGVUBXihwfQ,,http://www.eventsatclifton.com/
wahizzaclifton,"150 7th St, Clifton, NJ 07011, USA",Clifton,NJ,,dining,ChIJscD4s93_wokRveJSac6_cww,,https://wahizza.com/
"Lex Living Life",,Cranford,NJ,,dining,ChIJZWP2jVoRdkgRj1s9vLF-KCc,,
"The Deluxe Way","215 Centennial Ave, Cranford, NJ 07016, USA",Cranford,NJ,,dining,ChIJxzuxdDqyw4kRVBiuj_L2-CM,,https://100stepsrawbar.com/?utm_source=google
"Urban Burger Cranford","13 Eastman St, Cranford, NJ 07016, USA",Cranford,NJ,Cranford,dining,ChIJkQd9PCSyw4kRdXNjZx0UHkE,,http://www.urbanburgercranford.com/
"Dawson's Soul Food","43 Main St, Castledawson, Magherafelt BT45 8AA, UK",Deptford,NJ,,dining,ChIJ704jKSxbYEgRHs4HrXQ-kI8,,http://www.resdiary.com/restaurant/dawsonsrestaurant
"Umi Deptford","1692 Clements Bridge Rd, Deptford, NJ 08096, USA",Deptford,NJ,,dining,ChIJJbSO8ffPxokR8BEUKtIXtsI,,https://www.umibuffet.com/
Umideptford,"1692 Clements Bridge Rd, Deptford, NJ 08096, USA",Deptford,NJ,,dining,ChIJJbSO8ffPxokR8BEUKtIXtsI,,https://www.umibuffet.com/
"Los Bandoleros Tacos","405 NJ-18 suite 5, East Brunswick, NJ 08816, USA","East Brunswick",NJ,,dining,ChIJewIER1XPw4kRsHLp74GgTXo,,https://livefreeeattacos.com/
"O Cook Shop","8 Oak St, East Orange, NJ 07018, USA","East Orange",NJ,,dining,ChIJ7brBLWJVwokRs5Ne8bozB88,,
"Tasha’s Caribbean & Soul Food Cuisine","405 Dodd St, East Orange, NJ 07017, USA","East Orange",NJ,,dining,ChIJo4mx1VGrw4kRTlOk5Sy4k2M,,https://tashascaribbeansoul.com/?utm_source=google
"Tasha’s Carribean & Soul Food Cuisine","405 Dodd St, East Orange, NJ 07017, USA","East Orange",NJ,,dining,ChIJo4mx1VGrw4kRTlOk5Sy4k2M,,https://tashascaribbeansoul.com/?utm_source=google
"Caffe Roma","140 Park Ave, East Rutherford, NJ 07073, USA","East Rutherford",NJ,,dining,ChIJvWYHHev4wokRdJ6dy1-Hfa4,,https://cafferomaeastrutherford.com/?y_source=1_MzkxMjEzODItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Jarana,"1 American Dream Wy, East Rutherford, NJ 07073, USA","East Rutherford",NJ,,dining,ChIJ-SA27Xj4wokR84EPIowUI9w,,https://jaranarestaurant.com/new-jersey/
"Joe C's","955 Ferry Blvd, Stratford, CT 06614, USA","East Rutherford",NJ,,dining,ChIJtbNCrpUM6IkRBdReIeqqWF0,,https://joeycsboathouse.com/
"Joe C’s","955 Ferry Blvd, Stratford, CT 06614, USA","East Rutherford",NJ,,dining,ChIJtbNCrpUM6IkRBdReIeqqWF0,,https://joeycsboathouse.com/
Sakai,"700 Plaza Dr Suite 111, Secaucus, NJ 07094, USA","East Rutherford",NJ,,dining,ChIJzdER5-lXwokRreGMyL5cJQU,,http://www.sakairamen.com/
"Sports Bar","443 Paterson Ave, East Rutherford, NJ 07073, USA","East Rutherford",NJ,,nightlife,ChIJcTllpsL4wokRxdYlYcE5y4A,,
"Don Coqui","541 River Rd, Edgewater, NJ 07020, USA",Edgewater,NJ,,dining,ChIJQ9xeMgD3wokRnsYlXWA0FwA,,https://doncoqui.com/
"Life After Restaurant & Lounge","Inside The Metropolitan, 190 River Rd 2nd Floor, Edgewater, NJ 07020, USA",Edgewater,NJ,,dining|nightlife|lounge,ChIJTzn2xS_3wokRt3id5YqeTig,,
"Mitsuwa Marketplace","595 River Rd, Edgewater, NJ 07020, USA",Edgewater,NJ,,dining,ChIJOcsGVkr2wokRLmfHmhItPp0,,https://mitsuwa.com/nj
"Addy’s BBQ","3 Stephenville Pkwy, Edison, NJ 08820, USA",Edison,NJ,,dining,ChIJ1-BmeJG3w4kRyZqgmA2AVf8,,http://www.addysbarbeque.com/
"Clo Coffee","3 Stephenville Pkwy, Edison, NJ 08820, USA",Edison,NJ,,dining,ChIJq5PBRXO3w4kRqdnEpYThCS0,,http://clocoffeecompany.com/
"H Mart","Lincoln Highway, 1761 NJ-27, Edison, NJ 08817, USA",Edison,NJ,,dining,ChIJZWUfTN-3w4kRzCWzZUBDhwU,,https://www.hmart.com/
"Kura Sushi","1781 NJ-27 Suite 101, Edison, NJ 08817, USA",Edison,NJ,,dining,ChIJpZSE3GPHw4kRw1wSxD9EYuk,,https://kurasushi.com/locations/edison-nj
