Razzan,Brooklyn,NJ
"Shaka Club",Brooklyn,NJ
ShopRite,Brooklyn,NJ
"Sisters Spot",Brooklyn,NJ
"Soul Food NJ",Brooklyn,NJ
"Stop & Shop",Brooklyn,NJ
"Vinnie's Pizzeria",Brooklyn,NJ
"best soul food spot",Brooklyn,NJ
"Calandra's",Caldwell,NJ
"il Vecchio Cafe",Caldwell,NJ
"Bookers Lounge",Camden,NJ
Kheese,Camden,NJ
"Kings Men LLC",Camden,NJ
"Krack & Kheese",Camden,NJ
"Steven Soul Food",Camden,NJ
"Taco Loco",Camden,NJ
"Tony and Ruth's Steaks",Camden,NJ
"Monai soulfood",Carteret,NJ
"Monai's",Carteret,NJ
"Monai’s Soul Food Restaurant",Carteret,NJ
"Ou La",Carteret,NJ
"Amazin Taste","Central NJ",NJ
"Boiling House","Cherry Hill",NJ
"Crab Cakes","Cherry Hill",NJ
"New Restaurant","Cherry Hill",NJ
Shangri-La,"Cherry Hill",NJ
"Shangri-La Chill","Cherry Hill",NJ
Tuscana,"Cherry Hill",NJ
"bistro cherry hill","Cherry Hill",NJ
"Star Tavern","City of Orange",NJ
"Lumpy’s BBQ",Clementon,NJ
Bogeys,Clifton,NJ
"Bubamara Cafe",Clifton,NJ
"Cafe Bubamara",Clifton,NJ
"Damasco Cafe NJ",Clifton,NJ
"Damascus Cafe",Clifton,NJ
"La Bonita",Clifton,NJ
"Made in Miami",Clifton,NJ
"Tommy’s",Clifton,NJ
Yasmeen,Clifton,NJ
"exact venue name",Clifton,NJ
wahizzaclifton,Clifton,NJ
"Lex Living Life",Cranford,NJ
"The Deluxe Way",Cranford,NJ
"Urban Burger Cranford",Cranford,NJ
"Dawson's Soul Food",Deptford,NJ
"Umi Deptford",Deptford,NJ
Umideptford,Deptford,NJ
"Los Bandoleros Tacos","East Brunswick",NJ
"O Cook Shop","East Orange",NJ
"Tasha’s Caribbean & Soul Food Cuisine","East Orange",NJ
"Tasha’s Carribean & Soul Food Cuisine","East Orange",NJ
"Caffe Roma","East Rutherford",NJ
Jarana,"East Rutherford",NJ
"Joe C's","East Rutherford",NJ
"Joe C’s","East Rutherford",NJ
Sakai,"East Rutherford",NJ
"Sports Bar","East Rutherford",NJ
"Don Coqui",Edgewater,NJ
"Life After Restaurant & Lounge",Edgewater,NJ
"Mitsuwa Marketplace",Edgewater,NJ
"Addy’s BBQ",Edison,NJ
"Clo Coffee",Edison,NJ
"H Mart",Edison,NJ
"Kura Sushi",Edison,NJ
"The Canvas & Grapes Experience",Edison,NJ
"Wus Fish House",Edison,NJ
"PIER 73 BAR & LOUNGE",Elizabeth,NJ
CALEDERA,Englewood,NJ
"CALEDERA at Vida Garden",Englewood,NJ
"Llama House",Englewood,NJ
czenenglewood,Englewood,NJ
"El Charro Costeño",Ewing,NJ
"The Big Easy",Ewing,NJ
"Ruocco's Restaurant",Fairfield,NJ
"Tall Oaks Brew",Farmingdale,NJ
"Woody’s Roadside Tavern",Farmingdale,NJ
"El Asadero","Fort Lee",NJ
"Otter Fine Sushi & Beyond","Fort Lee",NJ
Andaaz,"Franklin Park",NJ
Aarzu,Freehold,NJ
Charkol,Freehold,NJ
"Da Rosario Ristorante",Freehold,NJ
"Pastrami Grill Bistro",Garfield,NJ
"Maria Station Cafe","Gloucester City",NJ
"Paula's Soul Food Cafe",Hackensack,NJ
"Paula’s Soul Food",Hackensack,NJ
"Paula’s Soul Food Cafe",Hackensack,NJ
"Jersey Kebab","Haddon Township",NJ
"Rats Restaurant",Hamilton,NJ
"Henri's Hotts BBQ",Hammonton,NJ
"Boiler Room",Hoboken,NJ
"Carlos Bakery",Hoboken,NJ
"Pier 13",Hoboken,NJ
Patricias,Holmdel,NJ
"Jives Cafe",Howell,NJ
"Big G Jamaican",Irvington,NJ
"Bobby Wong’s",Irvington,NJ
"Chef Teekay",Irvington,NJ
Chefteekay,Irvington,NJ
Marlos,Irvington,NJ
Mangia,Jackson,NJ
Thumkaa,Jamesburg,NJ
"Brownstone Pancake Factory",Jersey,NJ
"Carolyn’s Soul Food","Jersey City",NJ
"Gabriella's","Jersey City",NJ
"Halftime Grill","Jersey City",NJ
"Hudson & Co. Bar & Grill","Jersey City",NJ
"Latitude Zero Restaurant","Jersey City",NJ
Malatown,"Jersey City",NJ
Meximodo,"Jersey City",NJ
"NJ restaurant","Jersey City",NJ
"Rooftop at Exchange Place","Jersey City",NJ
"Tavern A Veranda","Jersey City",NJ
"The Ashford","Jersey City",NJ
"one of my favorite NJ restaurants","Jersey City",NJ
"The Crabpae",Kenilworth,NJ
"Chez Alice",Lambertville,NJ
"Under the Moon",Lambertville,NJ
"Blended Flavors",Linden,NJ
"Don Tequila",Lindenwold,NJ
"Don Tequila Restaurant",Lindenwold,NJ
"Willy’s Munch Gourmet","Little Ferry",NJ
"A Mother's Touch",Livingston,NJ
"A Mothers Touch",Livingston,NJ
"A Mother’s Touch",Livingston,NJ
"Turano's Pizza Kitchen",Livingston,NJ
"Genova Pizza","Long Beach",NJ
"La Lupa",Manalapan,NJ
"Arca Restaurant",Manhattan,NJ
"Aura Lounge",Manhattan,NJ
"Best New Fried Chicken Restaurant",Manhattan,NJ
"Bogey's",Manhattan,NJ
"Brooklyn Square Pizza",Manhattan,NJ
"Buffalo’s",Manhattan,NJ
"Ciao & Cello",Manhattan,NJ
"Cubby’s 1 1/2",Manhattan,NJ
"Cucina Palermo",Manhattan,NJ
Eatatcooks.com,Manhattan,NJ
"Game Bar",Manhattan,NJ
"Granny's Spot",Manhattan,NJ
"Granny’s Spot",Manhattan,NJ
"Rnb Brunch Sundays NJ",Manhattan,NJ
"Sticky Catfish",Manhattan,NJ
"The Girliest Cafe",Manhattan,NJ
"sisters spot",Manhattan,NJ
CRABBAE,Maplewood,NJ
"Sweet Chili Oxtails",Maplewood,NJ
"Sette Marlboro",Marlboro,NJ
"Source Brewing",Marlboro,NJ
"Spaghetti Eddie",Meadowlands,NJ
"The #1 cheese steak in south jersey",Merchantville,NJ
"Life at Cais",Metuchen,NJ
"Mangia Toscano",Metuchen,NJ
"RIPOSO Coffee Roasters","Middletown Township",NJ
"Unwined Boutique","Millburn-Short Hills",NJ
"Jasper Stone",Monroe,NJ
"Jasper Stone Italian Steakhouse","Monroe Township",NJ
"Luigino's Parmigiana",Montclair,NJ
"Mattarello Bakery",Montclair,NJ
Roosters,Montclair,NJ
"Seoul Bistro",Montclair,NJ
"Rey Sol Coffee",Morristown,NJ
"The Union Firehouse","Mount Holly",NJ
"The Hub Murray Hill","Murray Hill",NJ
"Beneduce Vineyards",NJ,NJ
Jerkies,NJ,NJ
Kpot,NJ,NJ
"Matera's on the Park",NJ,NJ
"Pina's Kitchen",NJ,NJ
"Renault Winery Resort",NJ,NJ
"Sprinkle Me Up Bakery",NJ,NJ
"The Cannoli Shop NJ",NJ,NJ
"Top Pot",NJ,NJ
"newest and best soul food",NJ,NJ
"Park Social",Neptune,NJ
Sakana,"New Brunswick",NJ
"domi soul fusion","New Brunswick",NJ
"Carrello di Cannoli","New Jersey",NJ
"Casa Ragazzini","New Jersey",NJ
"Great soul food spot","New Jersey",NJ
"Moka Cafe","New Jersey",NJ
"NJ Pier 73","New Jersey",NJ
"Rnb Brunch Sundays","New Jersey",NJ
"Soul Food in New Jersey","New Jersey",NJ
"best Healthy Restaurant","New Jersey",NJ
"47 Edison Pl",Newark,NJ
"Beyond Soul Food",Newark,NJ
"Beyond Soul Restaurant",Newark,NJ
"Blueberry Café",Newark,NJ
"City Lounge",Newark,NJ
"Ikoyi Restaurant and Lounge",Newark,NJ
"Jersey & Co Gelato",Newark,NJ
"Madre & Son Soulfood Cafe",Newark,NJ
"Madre & Son Soulfood Café",Newark,NJ
"Neighborhood Favorites",Newark,NJ
"OMG Resteraunt",Newark,NJ
"The Good Eats Experience",Newark,NJ
"The Patio on Sussex",Newark,NJ
"The Yard",Newark,NJ
"Town Bar + Kitchen",Newark,NJ
citylounge,Newark,NJ
"southern restaurant",Newark,NJ
"Blazin Chicken & Gyro","North Bergen",NJ
Sandwichitos,"North Bergen",NJ
Kanoon,"North Brunswick",NJ
"Rev Rail Co","North Creek",NJ
"Emilio's Woodfire Pizza",Nutley,NJ
"Locurcio Family Markets",Nutley,NJ
"Tramonto's Pizza","Ocean Township",NJ
"The Sauce Oceanport",Oceanport,NJ
"Il Nido","Old Bridge",NJ
"Madison Modern","Old Bridge",NJ
"ORA FreeStyle Italian",Oradell,NJ
Ora,Oradell,NJ
"The Green Lounge",Paramus,NJ
"Lotus Rooftop",Passaic,NJ
"Al Basha",Paterson,NJ
Bocaditos,Paterson,NJ
"DR Pica Pollo",Paterson,NJ
"Mancora Lounge",Paterson,NJ
Taj,Paterson,NJ
"Tiff's Soul Food",Paterson,NJ
"Wings & Bang Bang Tots",Pennsauken,NJ
"Mars Kitchen",Pennsgrove,NJ
"South Jersey’s BEST breakfast spot","Pine Hill",NJ
Bojangles,Piscataway,NJ
"Sky Cafe",Pittstown,NJ
"Agricola Eatery",Princeton,NJ
"Mediterra Restaurant Princeton",Princeton,NJ
_mamannyc_,Princeton,NJ
"Cugini's Pizzeria",Queens,NJ
"Meli's Pizzeria",Queens,NJ
"Uncle Louie's Pizza",Queens,NJ
"Chicken Box",Rahway,NJ
"Cook's Kitch'n",Rahway,NJ
"Cook's KitchN",Rahway,NJ
"Cook's Kitchen",Rahway,NJ
Cookskitchn,Rahway,NJ
Eatatcooks,Rahway,NJ
"Ramsey Farmers Market",Ramsey,NJ
"Taliercio's","Red Bank",NJ
"The Melting Pot",Redbank,NJ
"Cantina 46",Ridgefield,NJ
Cantina46NJ,Ridgefield,NJ
"Lula NJ",Ridgewood,NJ
"De Lorenzo's Tomato Pies","Robbinsville Township",NJ
"El Asadero Mexican Grill","Rochelle Park",NJ
"157 E Westfield Ave","Roselle Park",NJ
"The Addy's BBQ",Sayreville,NJ
"Berkeley Cut","Seaside Heights",NJ
"Haute Dulce",Secaucus,NJ
"Eataly New Jersey","Short Hills",NJ
"Jack's Surf Turf","Short Hills",NJ
"Albariño",Shrewsbury,NJ
SicklervilleSoul,Sicklerville,NJ
"Victoria’s Kitchen",Sicklerville,NJ
"Brunch by DeMartino",Somerville,NJ
"Pink Pistachio Cafe",Somerville,NJ
"Prima Pizza Kitchen",Somerville,NJ
"Amano Pizza Inc","South Amboy",NJ
"Amazing Taste","South Bound Brook",NJ
"Best Mexican restaurant","South Jersey",NJ
"Clean Plate Preps","South Jersey",NJ
"Clean Plate Preps NJ","South Jersey",NJ
"Kitchen 519","South Jersey",NJ
"Saker World Class Bakery","South Plainfield",NJ
"Shinjuku Station Sushi Bar","South Plainfield",NJ
"Shinjuku Station Sushi Bar US","South Plainfield",NJ
"Secret Tea Room at Reeves Reed Arboretum",Summit,NJ
"Surf City Bar","Surf City",NJ
"Hens and Honey Shoppe",Swedesboro,NJ
"Angora Mediterranean",Teaneck,NJ
"Sauced Up",Teaneck,NJ
"Sauced Up NJ",Teaneck,NJ
"Sweet T’s Southern Eatery",Teaneck,NJ
"Zina’s Steakhouse",Teaneck,NJ
"Jinya Ramen Bar",Totowa,NJ
"Big Easy of Downtown Trenton",Trenton,NJ
"Gloria Boyd Soul Food",Trenton,NJ
"Infinity Lounge",Trenton,NJ
"Jean’s Kitchen",Trenton,NJ
"Royal Cakes & Cafe",Trenton,NJ
"Soul Food Sunday",Trenton,NJ
"Sweet Chili Swing Platter",Trenton,NJ
"Tracey's Kitchen",Trenton,NJ
"Tracey’s Kitchen",Trenton,NJ
"Unnamed Restaurant",Trenton,NJ
"Fried Crispy Chicken",Union,NJ
"H&S SoulFood",Union,NJ
"Union Bar and Restaurant",Union,NJ
"SMAC kitchen","Union City",NJ
"Hidden Soul Food Restaurant",Vineland,NJ
"Taste Buds Soul Food",Vineland,NJ
"Girl with a grill","Voorhees Township",NJ
"Wagyu Steak",Weehawken,NJ
"favorite NJ restaurant","Weehawken Township",NJ
"The Concourse Club",Wood-Ridge,NJ
"Sole Food",Woodbridge,NJ
"Sole Food BBQ",Woodbridge,NJ
"Strickland's Steakhouse",Woodbridge,NJ
"Blue Bottle Coffee",city,NJ
"Angelo's Pizzeria","north Jersey",NJ
"Palazzone 1960","north Jersey",NJ
"The Pasta Shop","north Jersey",NJ
"that dinner spot","south jersey",NJ
"Kith Treats","All US",NY
"Agenda Astoria",Astoria,NY
"Kam Rai Thai",Astoria,NY
Macoletta,Astoria,NY
"Pig Beach BBQ",Astoria,NY
"Pig Beach Queens",Astoria,NY
"Smoke and Mirrors",Astoria,NY
"South Beach",Astoria,NY
"The best hookah place",Astoria,NY
"Tipsy Scoop",Astoria,NY
"Zen Astoria",Astoria,NY
"hookah place",Astoria,NY
vida.nyc,Astoria,NY
"Pops & Poosh",Baldwin,NY
"El Xiringuito de la Barceloneta",Barcelona,NY
"La Boqueria Market",Barcelona,NY
"La Papa",Barcelona,NY
"Quimet y Quimet",Barcelona,NY
"Suru Bar",Barcelona,NY
"Offgrid's Cafe",Bayside,NY
"The Roundhouse",Beacon,NY
"2 Chix Brunch",Bedstuy,NY
Roca,Berlin,NY
Dandelion,"Big Indian",NY
"Boogie Down Food Hall",Bronx,NY
"CEA-LOS - CAFE",Bronx,NY
"Calabria Pork Store",Bronx,NY
"Casa della Mozzarella",Bronx,NY
"Code Red",Bronx,NY
"Egidio Pastry Shop",Bronx,NY
"Grounds Donut House",Bronx,NY
"Juici Patties",Bronx,NY
"Madonia Bakery",Bronx,NY
"Roberto's Restaurant",Bronx,NY
"Taco Tuesday",Bronx,NY
"Vogue Restaurant Lounge",Bronx,NY
"Wing Wednesday",Bronx,NY
"1140 Utica Ave",Brooklyn,NY
"24hr soul food spot",Brooklyn,NY
"4am Bar Lounge",Brooklyn,NY
"Aura Cocina",Brooklyn,NY
"BAP'S",Brooklyn,NY
"Bamboo Walk",Brooklyn,NY
"Bars and Delis",Brooklyn,NY
"Bellas Brooklyn",Brooklyn,NY
"Black Nile Seafood & Soul Food Halal Restaurant",Brooklyn,NY
Bohemia,Brooklyn,NY
"Breuklyn Tequila",Brooklyn,NY
"Brooklyn Chckn 'N' Lbstr",Brooklyn,NY
"Brooklyn Chckn n Lbstr",Brooklyn,NY
"Brooklyn Chicken and Waffles",Brooklyn,NY
"CZEN Restaurant",Brooklyn,NY
"Cafe 20 Grams",Brooklyn,NY
"Charm Bar",Brooklyn,NY
"Cloudy Donuts",Brooklyn,NY
Coda,Brooklyn,NY
Continent,Brooklyn,NY
"Cupcakes After Dark",Brooklyn,NY
"Dekalb Market Hall",Brooklyn,NY
"Djon Djon",Brooklyn,NY
"Dope Cafe",Brooklyn,NY
"Dreams of Sugar",Brooklyn,NY
"EXOTIC EATS NYC",Brooklyn,NY
Eko,Brooklyn,NY
"Elite Williamsburg",Brooklyn,NY
"Fandi Mata",Brooklyn,NY
"Farmer in the Deli",Brooklyn,NY
"Forma Pasta Factory",Brooklyn,NY
"Fornino Pizza",Brooklyn,NY
"GG’s Fish & Chips",Brooklyn,NY
"Golfzon Social",Brooklyn,NY
"HAAM Caribbean Plant Cuisine",Brooklyn,NY
"Harriet's",Brooklyn,NY
"Hey Taco Cocina",Brooklyn,NY
"Hudson Table",Brooklyn,NY
"Häagen-Dazs",Brooklyn,NY
Ichiran,Brooklyn,NY
"Jack's Dining Room",Brooklyn,NY
"KFRI Event",Brooklyn,NY
"Katie O's",Brooklyn,NY
"Katie O's Soul Food",Brooklyn,NY
"Lazy Sundaes",Brooklyn,NY
"Le Chai",Brooklyn,NY
"Little Oaxaca",Brooklyn,NY
"Lobo Cafe",Brooklyn,NY
OhBoy,Brooklyn,NY
"Osteria Brooklyn",Brooklyn,NY
"Prime 623",Brooklyn,NY
Psarakis,Brooklyn,NY
"Pura Vida Miami - Williamsburg Kent Ave",Brooklyn,NY
"Red Crab Brooklyn",Brooklyn,NY
"Red Hook Winery",Brooklyn,NY
"Rockaway Gourmet Deli",Brooklyn,NY
"SOUL FOOD & SLIDERS",Brooklyn,NY
"Set Lounge NYC",Brooklyn,NY
"Skywise Lounge",Brooklyn,NY
"Slutty Vegan",Brooklyn,NY
Smorgasburg,Brooklyn,NY
"Smorgasburg Prospect Park",Brooklyn,NY
"Sofia and Grace Cookie Co.",Brooklyn,NY
"Spices and Slices",Brooklyn,NY
"Superior Ingredients",Brooklyn,NY
Tabu,Brooklyn,NY
"Taste of Heaven",Brooklyn,NY
"The Acoustik Garden Lounge",Brooklyn,NY
"The Empanada Spot",Brooklyn,NY
"The Gatehouses",Brooklyn,NY
"The Love Lounge",Brooklyn,NY
"The Polar Lounge",Brooklyn,NY
"The Simpson",Brooklyn,NY
"The Simpson Restaurant & Bar",Brooklyn,NY
"The Soul Spot",Brooklyn,NY
Veras,Brooklyn,NY
"Vera’s Soul Food",Brooklyn,NY
"Villa Bate Alba",Brooklyn,NY
"Viva Toro",Brooklyn,NY
Woodland,Brooklyn,NY
"Woodzzy Bar & Outdoor Lounge",Brooklyn,NY
"Yummys Restaurant",Brooklyn,NY
atti.nyc,Brooklyn,NY
bkbeso,Brooklyn,NY
bun.haus,Brooklyn,NY
chefdupreeofficial,Brooklyn,NY
grottobk,Brooklyn,NY
guesthouse265,Brooklyn,NY
level.restaurant,Brooklyn,NY
theboozery,Brooklyn,NY
"Heavens Countertop",Buffalo,NY
"The Grub Plug",Buffalo,NY
"Forever Thai",Bushwick,NY
"Cityview Rooftop Lounge and Event Space","College Point",NY
"Pluto Lounge","Crown Heights",NY
Nuser-et,Dubai,NY
"Bostwick's Chowder House","East Hampton",NY
"Grindstone Donuts","East Hampton",NY
"Sisi Restaurant","East Hampton",NY
"Pietro's Pizzeria East Meadow","East Meadow",NY
venhuenyc,"East Village",NY
"Oui Cocktail Lounge",Flatbush,NY
"Ganhoo BBQ",Flushing,NY
"Spot Dessert Bar",Flushing,NY
"The Cast Iron Pot",Flushing,NY
"Mighty Quinn's BBQ","Forest Hills",NY
"Bleu Island Restaurant",Freeport,NY
"Slices on the Mile",Freeport,NY
"King Bar by David Burke","Garden City",NY
"The Red Salt Room","Garden City",NY
"The Rose Room","Garden City",NY
"Greek Kitchen",Greenpoint,NY
"Baked Cravings",Harlem,NY
"Jacob Soul Food Restaurant",Harlem,NY
"Lighthouse Fish Market",Harlem,NY
"Little Street Lounge",Harlem,NY
"Mama Pearl's Kitchen",Harlem,NY
Panda,Harlem,NY
"Positive Vibes Cafe",Harlem,NY
"Soul Food Restaurant",Harlem,NY
"Soul Food in Harlem",Harlem,NY
"Sylvia’s",Harlem,NY
"The Best SoulFood In Harlem",Harlem,NY
"Lounge on Long Island",Hempstead,NY
"Tikka Charcoal Grill",Hicksville,NY
"Aloha Krab",Hollis,NY
Fabrika,"Jackson Heights",NY
"Bora Bora",Jamaica,NY
"Lovell’s Guiding Light",Jamaica,NY
"Space Ping Pong NYC",Koreatown,NY
"Chocolate Dip",LES,NY
"Blue Seafood Restaurant Bar",Laurelton,NY
"Pin𝐤 𝐋𝕖๓Ỗภ𝓪𝓭ｅ Lounge",London,NY
"Pin𝐤 𝐋𝕖๓Ỗภ𝓪𝓭𝓮 Lounge",London,NY
"Pin𝐤 𝐋𝕖๕Ỗภ𝓪𝓭𝓮",London,NY
"Pin𝐤 𝐋𝕖๕Ỗภ𝓪𝓭𝓮 Lounge",London,NY
nightmareonbeechst,"Long Beach",NY
"Angie's Soul House","Long Island",NY
Brasas,"Long Island",NY
"Brooklyn Wing House","Long Island",NY
"Harmony Vineyards","Long Island",NY
"Juniper at the Vanderbilt","Long Island",NY
"Sexy Crab","Long Island",NY
"Soul Food Spot","Long Island",NY
"The Cook's Studio","Long Island",NY
"The Monster Crab","Long Island",NY
"The Sunset Club at Tappen","Long Island",NY
jadeeatery,"Long Island",NY
Kakes,"Long Island City",NY
"Record Room","Long Island City",NY
extrabutter,"Long Island City",NY
theinfamouslic,"Long Island City",NY
"Ralph’s Coffee",Manhasset,NY
"12 Matcha",Manhattan,NY
1803,Manhattan,NY
"1803 NYC",Manhattan,NY
"2 Floors NYC Nightclub",Manhattan,NY
"21 Greenpoint",Manhattan,NY
"230 Fifth",Manhattan,NY
"230 Fifth Rooftop",Manhattan,NY
"2331 12th Avenue",Manhattan,NY
"318 Lafayette",Manhattan,NY
"420 Bar Lounge",Manhattan,NY
"53 Restaurant",Manhattan,NY
"A Hidden Gem",Manhattan,NY
"A.R.T Nomad",Manhattan,NY
"Aakosha Bentley",Manhattan,NY
Ainsworth,Manhattan,NY
"Ainsworth NYC",Manhattan,NY
Aitana,Manhattan,NY
"Aliya Cocktail Den at Hotel Indigo",Manhattan,NY
"Alpha Astoria",Manhattan,NY
Ambra,Manhattan,NY
"Amy Ruth's",Manhattan,NY
"Angelina’s",Manhattan,NY
AnnTremet,Manhattan,NY
AperiBar,Manhattan,NY
"Aperol Spritz Bar",Manhattan,NY
"Apotheke Nomad",Manhattan,NY
"Aqua Boil",Manhattan,NY
"Aqua Boil NYC",Manhattan,NY
Aquarelle,Manhattan,NY
"Arlo Nomad Diner",Manhattan,NY
"Arlo Nomad Rooftop",Manhattan,NY
Artesano,Manhattan,NY
"Artisano Peruvian Cuisine",Manhattan,NY
"Atlantic Restaurant",Manhattan,NY
"Atomo Beanless Coffee",Manhattan,NY
"Au Cheval",Manhattan,NY
"Aunt Jake's",Manhattan,NY
"Aura 57",Manhattan,NY
"Avant Garden",Manhattan,NY
"Awesome Hibachi",Manhattan,NY
Ayza,Manhattan,NY
"Ayza Wine & Chocolate Bar",Manhattan,NY
"Ayzan NYC",Manhattan,NY
"Azul On The Rooftop",Manhattan,NY
"BLVD Bistro",Manhattan,NY
"Baby Grand",Manhattan,NY
"Baby Grand LES",Manhattan,NY
"Baccarat Hotel",Manhattan,NY
"Baccarat Hotel New York",Manhattan,NY
Backstage,Manhattan,NY
"Baires Grill",Manhattan,NY
"Baji Baji",Manhattan,NY
"Bar Après",Manhattan,NY
"Bar Blondeau",Manhattan,NY
"Bar Calico",Manhattan,NY
"Bar Cima",Manhattan,NY
"Bar Primi",Manhattan,NY
"Bar Sprezzatura",Manhattan,NY
"Bartley Dunne's",Manhattan,NY
"Basquiat Bar",Manhattan,NY
"Bateaux Dinner Cruise",Manhattan,NY
"Beast and Butterflies",Manhattan,NY
"Beetle House",Manhattan,NY
"Bello and Angelo",Manhattan,NY
"Berimbau Brazilian Cuisine",Manhattan,NY
"Big Apple Brunch",Manhattan,NY
"Birdland Jazz Club",Manhattan,NY
"Black Nile",Manhattan,NY
"Blend Lounge NYC",Manhattan,NY
"Blossom's Soul Food Fusion",Manhattan,NY
"Blossoms Soul Food Fusion",Manhattan,NY
"Book Club Bar",Manhattan,NY
"Bourbon Steak",Manhattan,NY
"Brett’s Deli",Manhattan,NY
"Brunch for the People",Manhattan,NY
"Butler Bakery",Manhattan,NY
"Butterdose Cafe",Manhattan,NY
"Cacao Bar",Manhattan,NY
Cadence,Manhattan,NY
"Cafe Carmellini",Manhattan,NY
"Cafe Otto",Manhattan,NY
"Candle Cafe",Manhattan,NY
Cantina,Manhattan,NY
"Capital One Café - 59th & Lex",Manhattan,NY
"Carnegie Deli",Manhattan,NY
"Casa Bond",Manhattan,NY
Cathedrale,Manhattan,NY
"Cauldron Chicken",Manhattan,NY
"Cecconi’s Dumbo",Manhattan,NY
"Cecconi’s specifically at the Dumbo location",Manhattan,NY
"Cello’s Pizzeria",Manhattan,NY
"Central Park Boathouse",Manhattan,NY
"Champagne Problems",Manhattan,NY
"Champion Pizza",Manhattan,NY
"Cheeky Sandwiches",Manhattan,NY
"Chelsea Market",Manhattan,NY
"Chica and the Don",Manhattan,NY
"Christmas Bar",Manhattan,NY
"City Vineyard",Manhattan,NY
"City Vineyards",Manhattan,NY
"Claw Daddy's",Manhattan,NY
"Clemente Bar",Manhattan,NY
Cobblefish,Manhattan,NY
"Coco Social",Manhattan,NY
"Cold Stone Creamery",Manhattan,NY
"Cover Restaurant",Manhattan,NY
"Crazy Pizza",Manhattan,NY
"Crepe House",Manhattan,NY
"Cuts and Slices",Manhattan,NY
Daintree,Manhattan,NY
"Datz Deli",Manhattan,NY
"Dear Irving On Hudson",Manhattan,NY
"Deli Boyz",Manhattan,NY
"Din Tai Fung",Manhattan,NY
"Django Jazz",Manhattan,NY
"Docks Off 5th",Manhattan,NY
"Drink Up",Manhattan,NY
"Drink Up NYC",Manhattan,NY
"Drink Up in NYC",Manhattan,NY
"Dumbo House",Manhattan,NY
"Dutch Fred’s",Manhattan,NY
Eataly,Manhattan,NY
"Eataly Flatiron",Manhattan,NY
"Ebi-ayo Supper",Manhattan,NY
"Ebi-ayo Supper Club",Manhattan,NY
"El Nico",Manhattan,NY
"El Rio Grande",Manhattan,NY
"Electric Shuffle",Manhattan,NY
"Eleven Madison Park",Manhattan,NY
Essex,Manhattan,NY
"Euphoria Brunch",Manhattan,NY
Everdene,Manhattan,NY
